"date","year","month","day","9414001"
1979-06-17,1979,6,17,0.004
1979-06-18,1979,6,18,23.063
1979-06-19,1979,6,19,1.823
1979-06-20,1979,6,20,0.01
1979-06-21,1979,6,21,0
1979-06-22,1979,6,22,13.363
1979-06-23,1979,6,23,4.442
1979-06-24,1979,6,24,1.452
1979-06-25,1979,6,25,0.15
1979-06-26,1979,6,26,0
1979-06-27,1979,6,27,0
1979-06-28,1979,6,28,0
1979-06-29,1979,6,29,0
1979-06-30,1979,6,30,0
1979-07-01,1979,7,1,0
1979-07-02,1979,7,2,0
1979-07-03,1979,7,3,0
1979-07-04,1979,7,4,0
1979-07-05,1979,7,5,0
1979-07-06,1979,7,6,0
1979-07-07,1979,7,7,0
1979-07-08,1979,7,8,0
1979-07-09,1979,7,9,0
1979-07-10,1979,7,10,0
1979-07-11,1979,7,11,0
1979-07-12,1979,7,12,10.414
1979-07-13,1979,7,13,2.909
1979-07-14,1979,7,14,8.384
1979-07-15,1979,7,15,0
1979-07-16,1979,7,16,0.938
1979-07-17,1979,7,17,20.963
1979-07-18,1979,7,18,0.047
1979-07-19,1979,7,19,0
1979-07-20,1979,7,20,2.466
1979-07-21,1979,7,21,0.595
1979-07-22,1979,7,22,9.592
1979-07-23,1979,7,23,30.081
1979-07-24,1979,7,24,36.515
1979-07-25,1979,7,25,13.486
1979-07-26,1979,7,26,16.218
1979-07-27,1979,7,27,22.51
1979-07-28,1979,7,28,34.831
1979-07-29,1979,7,29,24.718
1979-07-30,1979,7,30,6.984
1979-07-31,1979,7,31,17.124
1979-08-01,1979,8,1,12.879
1979-08-02,1979,8,2,0.964
1979-08-03,1979,8,3,16.956
1979-08-04,1979,8,4,16.765
1979-08-05,1979,8,5,13.927
1979-08-06,1979,8,6,4.005
1979-08-07,1979,8,7,4.391
1979-08-08,1979,8,8,28.208
1979-08-09,1979,8,9,3.793
1979-08-10,1979,8,10,0
1979-08-11,1979,8,11,0
1979-08-12,1979,8,12,0
1979-08-13,1979,8,13,0
1979-08-14,1979,8,14,0
1979-08-15,1979,8,15,0
1979-08-16,1979,8,16,0.004
1979-08-17,1979,8,17,0.465
1979-08-18,1979,8,18,0.764
1979-08-19,1979,8,19,10.608
1979-08-20,1979,8,20,27.944
1979-08-21,1979,8,21,27.113
1979-08-22,1979,8,22,1.955
