"date","year","month","day","9414001"
1992-01-01,1992,1,1,39.386
1992-02-01,1992,2,1,29.757
1992-03-01,1992,3,1,204.624
1992-04-01,1992,4,1,181.938
1992-05-01,1992,5,1,517.021
1992-06-01,1992,6,1,318.255
1992-07-01,1992,7,1,129.5
1992-08-01,1992,8,1,133.539
1992-09-01,1992,9,1,233.222
1992-10-01,1992,10,1,189.532
1992-11-01,1992,11,1,187.456
1992-12-01,1992,12,1,190.108
1993-01-01,1993,1,1,44.031
1993-02-01,1993,2,1,37.166
1993-03-01,1993,3,1,146.843
1993-04-01,1993,4,1,273.804
1993-05-01,1993,5,1,607.258
1993-06-01,1993,6,1,499.25
1993-07-01,1993,7,1,463.828
1993-08-01,1993,8,1,283.453
1993-09-01,1993,9,1,122.022
1993-10-01,1993,10,1,184.402
1993-11-01,1993,11,1,172.325
1993-12-01,1993,12,1,148.783
1994-01-01,1994,1,1,45.296
1994-02-01,1994,2,1,31.164
1994-03-01,1994,3,1,81.121
1994-04-01,1994,4,1,214.285
1994-05-01,1994,5,1,216.983
1994-06-01,1994,6,1,385.484
1994-07-01,1994,7,1,474.56
1994-08-01,1994,8,1,123.839
1994-09-01,1994,9,1,212.733
1994-10-01,1994,10,1,191.232
1994-11-01,1994,11,1,221.044
1994-12-01,1994,12,1,178.527
1995-01-01,1995,1,1,69.478
1995-02-01,1995,2,1,24.797
1995-03-01,1995,3,1,67.476
1995-04-01,1995,4,1,240.728
1995-05-01,1995,5,1,167.687
1995-06-01,1995,6,1,546.511
1995-07-01,1995,7,1,396.891
1995-08-01,1995,8,1,353.803
1995-09-01,1995,9,1,141.097
1995-10-01,1995,10,1,178.493
1995-11-01,1995,11,1,108.63
1995-12-01,1995,12,1,62.445
1996-01-01,1996,1,1,47.542
1996-02-01,1996,2,1,59.597
1996-03-01,1996,3,1,128.355
1996-04-01,1996,4,1,153.998
1996-05-01,1996,5,1,295.884
1996-06-01,1996,6,1,194.942
1996-07-01,1996,7,1,158.59
1996-08-01,1996,8,1,344.437
1996-09-01,1996,9,1,87.534
1996-10-01,1996,10,1,149.755
1996-11-01,1996,11,1,179.265
1996-12-01,1996,12,1,108.654
1997-01-01,1997,1,1,67.467
1997-02-01,1997,2,1,44.476
1997-03-01,1997,3,1,45.6
1997-04-01,1997,4,1,362.289
1997-05-01,1997,5,1,326.426
1997-06-01,1997,6,1,492.776
1997-07-01,1997,7,1,404.034
1997-08-01,1997,8,1,267.213
1997-09-01,1997,9,1,183.111
1997-10-01,1997,10,1,228.209
1997-11-01,1997,11,1,219.931
1997-12-01,1997,12,1,121.872
1998-01-01,1998,1,1,31.58
1998-02-01,1998,2,1,53.152
